_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
1,2020-12-08,S92000003,AstraZeneca (Vaxzevria),,Dose 1,14,,14,,All vaccinations
2,2020-12-08,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
3,2020-12-08,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
4,2020-12-08,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
5,2020-12-08,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
6,2020-12-08,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
7,2020-12-08,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,1934,,1934,,All vaccinations
8,2020-12-08,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
9,2020-12-08,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
10,2020-12-08,S92000003,Total,,Dose 1,1948,,1948,,All vaccinations
11,2020-12-08,S92000003,Total,4439078,Dose 1,1947,0.043860459,1947,0.043860459,18 years and over
12,2020-12-08,S92000003,Total,2875396,Dose 1,1353,0.047054388,1353,0.047054388,40 years and over
13,2020-12-08,S92000003,Total,4783352,Dose 1,1948,0.04072458,1948,0.04072458,12 years and over
14,2020-12-08,S92000003,Total,,Dose 2,0,,0,,All vaccinations
15,2020-12-08,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
16,2020-12-08,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
17,2020-12-08,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
18,2020-12-08,S92000003,Total,,Dose 3,0,,0,,All vaccinations
19,2020-12-08,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
20,2020-12-08,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
21,2020-12-08,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
22,2020-12-09,S92000003,AstraZeneca (Vaxzevria),,Dose 1,6,,20,,All vaccinations
23,2020-12-09,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
24,2020-12-09,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
25,2020-12-09,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
26,2020-12-09,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
27,2020-12-09,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
28,2020-12-09,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,3873,,5807,,All vaccinations
29,2020-12-09,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
30,2020-12-09,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
31,2020-12-09,S92000003,Total,,Dose 1,3879,,5827,,All vaccinations
32,2020-12-09,S92000003,Total,4439078,Dose 1,3879,0.087383011,5826,0.13124347,18 years and over
33,2020-12-09,S92000003,Total,2875396,Dose 1,2581,0.089761549,3934,0.136815938,40 years and over
34,2020-12-09,S92000003,Total,4783352,Dose 1,3879,0.08109376,5827,0.12181834,12 years and over
35,2020-12-09,S92000003,Total,,Dose 2,0,,0,,All vaccinations
36,2020-12-09,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
37,2020-12-09,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
38,2020-12-09,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
39,2020-12-09,S92000003,Total,,Dose 3,0,,0,,All vaccinations
40,2020-12-09,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
41,2020-12-09,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
42,2020-12-09,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
43,2020-12-10,S92000003,AstraZeneca (Vaxzevria),,Dose 1,4,,24,,All vaccinations
44,2020-12-10,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
45,2020-12-10,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
46,2020-12-10,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
47,2020-12-10,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
48,2020-12-10,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
49,2020-12-10,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,4962,,10769,,All vaccinations
50,2020-12-10,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
51,2020-12-10,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
52,2020-12-10,S92000003,Total,,Dose 1,4966,,10793,,All vaccinations
53,2020-12-10,S92000003,Total,4439078,Dose 1,4965,0.11184755,10791,0.24309102,18 years and over
54,2020-12-10,S92000003,Total,2875396,Dose 1,3277,0.113966911,7211,0.250782849,40 years and over
55,2020-12-10,S92000003,Total,4783352,Dose 1,4965,0.103797504,10792,0.225615844,12 years and over
56,2020-12-10,S92000003,Total,,Dose 2,0,,0,,All vaccinations
57,2020-12-10,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
58,2020-12-10,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
59,2020-12-10,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
60,2020-12-10,S92000003,Total,,Dose 3,0,,0,,All vaccinations
61,2020-12-10,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
62,2020-12-10,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
63,2020-12-10,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
64,2020-12-11,S92000003,AstraZeneca (Vaxzevria),,Dose 1,6,,30,,All vaccinations
65,2020-12-11,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
66,2020-12-11,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
67,2020-12-11,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
68,2020-12-11,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
69,2020-12-11,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
70,2020-12-11,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,5296,,16065,,All vaccinations
71,2020-12-11,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
72,2020-12-11,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
73,2020-12-11,S92000003,Total,,Dose 1,5302,,16095,,All vaccinations
74,2020-12-11,S92000003,Total,4439078,Dose 1,5300,0.119394162,16091,0.362485183,18 years and over
75,2020-12-11,S92000003,Total,2875396,Dose 1,3487,0.121270253,10698,0.372053102,40 years and over
76,2020-12-11,S92000003,Total,4783352,Dose 1,5302,0.110842773,16094,0.336458617,12 years and over
77,2020-12-11,S92000003,Total,,Dose 2,0,,0,,All vaccinations
78,2020-12-11,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
79,2020-12-11,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
80,2020-12-11,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
81,2020-12-11,S92000003,Total,,Dose 3,0,,0,,All vaccinations
82,2020-12-11,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
83,2020-12-11,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
84,2020-12-11,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
85,2020-12-12,S92000003,AstraZeneca (Vaxzevria),,Dose 1,14,,44,,All vaccinations
86,2020-12-12,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
87,2020-12-12,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
88,2020-12-12,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
89,2020-12-12,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
90,2020-12-12,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
91,2020-12-12,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,2134,,18199,,All vaccinations
92,2020-12-12,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
93,2020-12-12,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
94,2020-12-12,S92000003,Total,,Dose 1,2148,,18243,,All vaccinations
95,2020-12-12,S92000003,Total,4439078,Dose 1,2147,0.048365899,18238,0.410851082,18 years and over
96,2020-12-12,S92000003,Total,2875396,Dose 1,1337,0.046497943,12035,0.418551045,40 years and over
97,2020-12-12,S92000003,Total,4783352,Dose 1,2148,0.044905748,18242,0.381364365,12 years and over
98,2020-12-12,S92000003,Total,,Dose 2,0,,0,,All vaccinations
99,2020-12-12,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
100,2020-12-12,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
101,2020-12-12,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
102,2020-12-12,S92000003,Total,,Dose 3,0,,0,,All vaccinations
103,2020-12-12,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
104,2020-12-12,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
105,2020-12-12,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
106,2020-12-13,S92000003,AstraZeneca (Vaxzevria),,Dose 1,9,,53,,All vaccinations
107,2020-12-13,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
108,2020-12-13,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
109,2020-12-13,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
110,2020-12-13,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
111,2020-12-13,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
112,2020-12-13,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,1114,,19313,,All vaccinations
113,2020-12-13,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
114,2020-12-13,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
115,2020-12-13,S92000003,Total,,Dose 1,1123,,19366,,All vaccinations
116,2020-12-13,S92000003,Total,4439078,Dose 1,1123,0.025298046,19361,0.436149128,18 years and over
117,2020-12-13,S92000003,Total,2875396,Dose 1,714,0.024831362,12749,0.443382407,40 years and over
118,2020-12-13,S92000003,Total,4783352,Dose 1,1123,0.02347726,19365,0.404841626,12 years and over
119,2020-12-13,S92000003,Total,,Dose 2,0,,0,,All vaccinations
120,2020-12-13,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
121,2020-12-13,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
122,2020-12-13,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
123,2020-12-13,S92000003,Total,,Dose 3,0,,0,,All vaccinations
124,2020-12-13,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
125,2020-12-13,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
126,2020-12-13,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
127,2020-12-14,S92000003,AstraZeneca (Vaxzevria),,Dose 1,15,,68,,All vaccinations
128,2020-12-14,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
129,2020-12-14,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
130,2020-12-14,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
131,2020-12-14,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
132,2020-12-14,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
133,2020-12-14,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,5710,,25023,,All vaccinations
134,2020-12-14,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
135,2020-12-14,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
136,2020-12-14,S92000003,Total,,Dose 1,5725,,25091,,All vaccinations
137,2020-12-14,S92000003,Total,4439078,Dose 1,5724,0.128945695,25085,0.565094824,18 years and over
138,2020-12-14,S92000003,Total,2875396,Dose 1,3906,0.135842159,16655,0.579224566,40 years and over
139,2020-12-14,S92000003,Total,4783352,Dose 1,5725,0.119685944,25090,0.52452757,12 years and over
140,2020-12-14,S92000003,Total,,Dose 2,0,,0,,All vaccinations
141,2020-12-14,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
142,2020-12-14,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
143,2020-12-14,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
144,2020-12-14,S92000003,Total,,Dose 3,0,,0,,All vaccinations
145,2020-12-14,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
146,2020-12-14,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
147,2020-12-14,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
148,2020-12-15,S92000003,AstraZeneca (Vaxzevria),,Dose 1,44,,112,,All vaccinations
149,2020-12-15,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
150,2020-12-15,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
151,2020-12-15,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
152,2020-12-15,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
153,2020-12-15,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
154,2020-12-15,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,7391,,32414,,All vaccinations
155,2020-12-15,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
156,2020-12-15,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
157,2020-12-15,S92000003,Total,,Dose 1,7435,,32526,,All vaccinations
158,2020-12-15,S92000003,Total,4439078,Dose 1,7432,0.167422154,32517,0.732516978,18 years and over
159,2020-12-15,S92000003,Total,2875396,Dose 1,5229,0.181853213,21884,0.761077779,40 years and over
160,2020-12-15,S92000003,Total,4783352,Dose 1,7435,0.155434933,32525,0.679962503,12 years and over
161,2020-12-15,S92000003,Total,,Dose 2,0,,0,,All vaccinations
162,2020-12-15,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
163,2020-12-15,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
164,2020-12-15,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
165,2020-12-15,S92000003,Total,,Dose 3,0,,0,,All vaccinations
166,2020-12-15,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
167,2020-12-15,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
168,2020-12-15,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
169,2020-12-16,S92000003,AstraZeneca (Vaxzevria),,Dose 1,21,,133,,All vaccinations
170,2020-12-16,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
171,2020-12-16,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
172,2020-12-16,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
173,2020-12-16,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
174,2020-12-16,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
175,2020-12-16,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,7190,,39604,,All vaccinations
176,2020-12-16,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
177,2020-12-16,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
178,2020-12-16,S92000003,Total,,Dose 1,7211,,39737,,All vaccinations
179,2020-12-16,S92000003,Total,4439078,Dose 1,7207,0.162353534,39724,0.894870511,18 years and over
180,2020-12-16,S92000003,Total,2875396,Dose 1,4921,0.171141644,26805,0.932219423,40 years and over
181,2020-12-16,S92000003,Total,4783352,Dose 1,7211,0.150752025,39736,0.830714528,12 years and over
182,2020-12-16,S92000003,Total,,Dose 2,0,,0,,All vaccinations
183,2020-12-16,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
184,2020-12-16,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
185,2020-12-16,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
186,2020-12-16,S92000003,Total,,Dose 3,0,,0,,All vaccinations
187,2020-12-16,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
188,2020-12-16,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
189,2020-12-16,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
190,2020-12-17,S92000003,AstraZeneca (Vaxzevria),,Dose 1,23,,156,,All vaccinations
191,2020-12-17,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
192,2020-12-17,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
193,2020-12-17,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
194,2020-12-17,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
195,2020-12-17,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
196,2020-12-17,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,7149,,46753,,All vaccinations
197,2020-12-17,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
198,2020-12-17,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
199,2020-12-17,S92000003,Total,,Dose 1,7172,,46909,,All vaccinations
200,2020-12-17,S92000003,Total,4439078,Dose 1,7169,0.1614975,46893,1.056368012,18 years and over
201,2020-12-17,S92000003,Total,2875396,Dose 1,5129,0.178375431,31934,1.110594854,40 years and over
202,2020-12-17,S92000003,Total,4783352,Dose 1,7172,0.149936697,46908,0.980651225,12 years and over
203,2020-12-17,S92000003,Total,,Dose 2,0,,0,,All vaccinations
204,2020-12-17,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
205,2020-12-17,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
206,2020-12-17,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
207,2020-12-17,S92000003,Total,,Dose 3,0,,0,,All vaccinations
208,2020-12-17,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
209,2020-12-17,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
210,2020-12-17,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
211,2020-12-18,S92000003,AstraZeneca (Vaxzevria),,Dose 1,22,,178,,All vaccinations
212,2020-12-18,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
213,2020-12-18,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
214,2020-12-18,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
215,2020-12-18,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
216,2020-12-18,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
217,2020-12-18,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,8491,,55244,,All vaccinations
218,2020-12-18,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
219,2020-12-18,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
220,2020-12-18,S92000003,Total,,Dose 1,8513,,55422,,All vaccinations
221,2020-12-18,S92000003,Total,4439078,Dose 1,8505,0.19159384,55398,1.247961852,18 years and over
222,2020-12-18,S92000003,Total,2875396,Dose 1,6267,0.217952588,38201,1.328547442,40 years and over
223,2020-12-18,S92000003,Total,4783352,Dose 1,8513,0.177971431,55421,1.158622656,12 years and over
224,2020-12-18,S92000003,Total,,Dose 2,0,,0,,All vaccinations
225,2020-12-18,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
226,2020-12-18,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
227,2020-12-18,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
228,2020-12-18,S92000003,Total,,Dose 3,0,,0,,All vaccinations
229,2020-12-18,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
230,2020-12-18,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
231,2020-12-18,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
232,2020-12-19,S92000003,AstraZeneca (Vaxzevria),,Dose 1,9,,187,,All vaccinations
233,2020-12-19,S92000003,AstraZeneca (Vaxzevria),,Dose 2,0,,0,,All vaccinations
234,2020-12-19,S92000003,AstraZeneca (Vaxzevria),,Dose 3,0,,0,,All vaccinations
235,2020-12-19,S92000003,Moderna (Spikevax),,Dose 1,0,,0,,All vaccinations
236,2020-12-19,S92000003,Moderna (Spikevax),,Dose 2,0,,0,,All vaccinations
237,2020-12-19,S92000003,Moderna (Spikevax),,Dose 3,0,,0,,All vaccinations
238,2020-12-19,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,3371,,58615,,All vaccinations
239,2020-12-19,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,0,,0,,All vaccinations
240,2020-12-19,S92000003,Pfizer BioNTech (Comirnaty),,Dose 3,0,,0,,All vaccinations
241,2020-12-19,S92000003,Total,,Dose 1,3380,,58802,,All vaccinations
242,2020-12-19,S92000003,Total,4439078,Dose 1,3379,0.07611941,58777,1.324081262,18 years and over
243,2020-12-19,S92000003,Total,2875396,Dose 1,2383,0.082875541,40584,1.411422983,40 years and over
244,2020-12-19,S92000003,Total,4783352,Dose 1,3380,0.070661745,58801,1.229284401,12 years and over
245,2020-12-19,S92000003,Total,,Dose 2,0,,0,,All vaccinations
246,2020-12-19,S92000003,Total,4439078,Dose 2,0,0,0,0,18 years and over
247,2020-12-19,S92000003,Total,2875396,Dose 2,0,0,0,0,40 years and over
248,2020-12-19,S92000003,Total,4783352,Dose 2,0,0,0,0,12 years and over
249,2020-12-19,S92000003,Total,,Dose 3,0,,0,,All vaccinations
250,2020-12-19,S92000003,Total,4439078,Dose 3,0,0,0,0,18 years and over
251,2020-12-19,S92000003,Total,2875396,Dose 3,0,0,0,0,40 years and over
252,2020-12-19,S92000003,Total,4783352,Dose 3,0,0,0,0,12 years and over
253,2020-12-20,S92000003,AstraZeneca (Vaxzevria),,Dose 1,13,,200,,All vaccinations
